"filename", "language", "PHP", "JavaScript", "Markdown", "JSON", "Vue", "CSS", "XML", "JSON with Comments", "Database", "comment", "blank", "total"
"d:\servidores\xampp\htdocs\SEA\public\assets\css\fontawesome\css\v5-font-face.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 5, 0, 6
"d:\servidores\xampp\htdocs\SEA\public\assets\js\dataTables.js", "JavaScript", 0, 7063, 0, 0, 0, 0, 0, 0, 0, 4007, 2085, 13155
"d:\servidores\xampp\htdocs\SEA\public\assets\js\dataTables.tailwindcss.js", "JavaScript", 0, 125, 0, 0, 0, 0, 0, 0, 0, 13, 24, 162
"d:\servidores\xampp\htdocs\SEA\public\assets\js\flowbite.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"d:\servidores\xampp\htdocs\SEA\public\assets\js\jquery-3.7.1.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"d:\servidores\xampp\htdocs\SEA\public\index.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 18
"d:\servidores\xampp\htdocs\SEA\resources\css\app.css", "CSS", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"d:\servidores\xampp\htdocs\SEA\resources\js\Components\ActionMessage.vue", "Vue", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"d:\servidores\xampp\htdocs\SEA\resources\js\Components\ActionSection.vue", "Vue", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 3, 23
"d:\servidores\xampp\htdocs\SEA\resources\js\Components\ApplicationLogo.vue", "Vue", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"d:\servidores\xampp\htdocs\SEA\resources\js\Components\ApplicationMark.vue", "Vue", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\servidores\xampp\htdocs\SEA\resources\js\Components\AuthenticationCard.vue", "Vue", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
